datetime,chc,lpz,scz
2024-10-03 10:50,nan,nan,nan
2024-10-03 11:50,nan,nan,nan
2024-10-03 12:50,nan,nan,nan
2024-10-03 12:50,nan,nan,nan
2024-10-03 13:50,nan,nan,nan
2024-10-03 13:50,nan,nan,nan
2024-10-03 14:50,nan,nan,nan
2024-10-03 14:50,nan,nan,nan
2024-10-03 15:50,nan,nan,nan
2024-10-03 15:50,nan,nan,nan
2024-10-03 16:50,nan,nan,nan
2024-10-03 16:50,nan,nan,nan
2024-10-03 17:50,nan,nan,nan
2024-10-03 17:50,nan,nan,nan
2024-10-03 18:50,nan,nan,nan
2024-10-03 18:50,nan,nan,nan
2024-10-03 19:50,nan,nan,nan
2024-10-03 19:50,nan,nan,nan
2024-10-03 20:50,nan,nan,nan
2024-10-03 20:50,nan,nan,nan
2024-10-04 10:50,nan,nan,4.999973
2024-10-04 10:50,nan,nan,4.999973
2024-10-04 11:50,nan,nan,2.2913911
2024-10-04 12:50,nan,nan,1.916109
2024-10-04 12:50,nan,nan,1.916109
2024-10-04 13:50,nan,0.00016606227,2.294859
2024-10-04 13:50,nan,0.00016606227,2.294859
2024-10-04 14:50,0.15313017,0.03992902,2.6244445
2024-10-04 14:50,0.15313017,0.03992902,2.6244445
2024-10-04 15:50,nan,nan,nan
2024-10-04 15:50,nan,nan,nan
2024-10-04 16:50,0.07345012,nan,2.0149
2024-10-04 16:50,0.07345012,nan,2.0149
2024-10-04 17:50,nan,-0.05,2.105137
2024-10-04 17:50,nan,-0.05,2.105137
2024-10-04 18:50,nan,-0.05,1.701651
2024-10-04 18:50,nan,-0.05,1.701651
2024-10-04 19:50,nan,-0.017403621,2.1986108
2024-10-04 19:50,nan,-0.017403621,2.1986108
2024-10-04 20:50,0.16846511,0.026828822,1.9873123
2024-10-04 20:50,0.16846511,0.026828822,1.9873123
2024-10-05 10:50,nan,nan,nan
2024-10-05 10:50,nan,nan,nan
2024-10-05 11:50,nan,nan,2.399275
2024-10-05 12:50,nan,0.31249022,2.2622623
2024-10-05 12:50,nan,0.31249022,2.2622623
2024-10-05 13:50,nan,0.1518972,1.803139
2024-10-05 13:50,nan,0.1518972,1.803139
2024-10-05 14:50,nan,-0.0453764,2.2801404
2024-10-05 14:50,nan,-0.0453764,2.2801404
2024-10-05 15:50,nan,-0.05,2.1328788
2024-10-05 15:50,nan,-0.05,2.1328788
2024-10-05 16:50,nan,nan,2.4199271
2024-10-05 16:50,nan,nan,2.4199271
2024-10-05 17:50,0.10928303,nan,2.3341594
2024-10-05 17:50,0.10928303,nan,2.3341594
2024-10-05 18:50,nan,-0.0030704588,1.8228663
2024-10-05 18:50,nan,-0.0030704588,1.8228663
2024-10-05 19:50,0.079769045,0.015115704,3.6863313
2024-10-05 19:50,0.079769045,0.015115704,3.6863313
2024-10-05 20:50,0.04586264,0.13347986,2.3962698
2024-10-05 20:50,0.04586264,0.13347986,2.3962698
2024-10-06 10:50,nan,nan,4.999973
2024-10-06 10:50,nan,nan,4.999973
2024-10-06 11:50,nan,0.23281021,4.5953307
2024-10-06 12:50,nan,0.13679345,4.261507
2024-10-06 12:50,nan,0.13679345,4.261507
2024-10-06 13:50,nan,0.0009366609,3.296716
2024-10-06 13:50,nan,0.0009366609,3.296716
2024-10-06 14:50,nan,-0.05,1.9183437
2024-10-06 14:50,nan,-0.05,1.9183437
2024-10-06 15:50,nan,-0.05,1.7455752
2024-10-06 15:50,nan,-0.05,1.7455752
2024-10-06 16:50,nan,nan,1.7950476
2024-10-06 16:50,nan,nan,1.7950476
2024-10-06 17:50,nan,nan,1.5787402
2024-10-06 17:50,nan,nan,1.5787402
2024-10-06 18:50,nan,nan,2.2798321
2024-10-06 18:50,nan,nan,2.2798321
2024-10-06 19:50,nan,0.04162434,2.219494
2024-10-06 19:50,nan,0.04162434,2.219494
2024-10-06 20:50,nan,0.10928303,1.596464
2024-10-06 20:50,nan,0.10928303,1.596464
2024-10-07 10:50,nan,nan,4.837068
2024-10-07 10:50,nan,nan,4.837068
2024-10-07 11:50,nan,nan,2.9944096
2024-10-07 12:50,nan,nan,4.2573457
2024-10-07 12:50,nan,nan,4.2573457
2024-10-07 13:50,nan,0.0775343,nan
2024-10-07 13:50,nan,0.0775343,nan
2024-10-07 14:50,nan,nan,nan
2024-10-07 14:50,nan,nan,nan
2024-10-07 15:50,nan,nan,nan
2024-10-07 15:50,nan,nan,nan
2024-10-07 16:50,nan,nan,nan
2024-10-07 16:50,nan,nan,nan
2024-10-07 17:50,nan,nan,nan
2024-10-07 17:50,nan,nan,nan
2024-10-07 18:50,nan,nan,nan
2024-10-07 18:50,nan,nan,nan
2024-10-07 19:50,nan,nan,nan
2024-10-07 19:50,nan,nan,nan
2024-10-07 20:50,nan,nan,nan
2024-10-07 20:50,nan,nan,nan
2024-10-08 10:50,nan,nan,nan
2024-10-08 10:50,nan,nan,nan
2024-10-08 11:50,nan,nan,nan
2024-10-08 12:50,nan,nan,nan
2024-10-08 12:50,nan,nan,nan
2024-10-08 13:50,nan,nan,3.212104
2024-10-08 13:50,nan,nan,3.212104
2024-10-08 14:50,nan,nan,2.9029393
2024-10-08 14:50,nan,nan,2.9029393
2024-10-08 15:50,nan,nan,nan
2024-10-08 15:50,nan,nan,nan
2024-10-08 16:50,nan,nan,nan
2024-10-08 16:50,nan,nan,nan
2024-10-08 17:50,nan,nan,nan
2024-10-08 17:50,nan,nan,nan
2024-10-08 18:50,nan,nan,nan
2024-10-08 18:50,nan,nan,nan
2024-10-08 19:50,nan,nan,nan
2024-10-08 19:50,nan,nan,nan
2024-10-08 20:50,nan,nan,3.2440069
2024-10-08 20:50,nan,nan,3.2440069
2024-10-09 10:50,nan,nan,nan
2024-10-09 10:50,nan,nan,nan
2024-10-09 11:50,nan,nan,nan
2024-10-09 12:50,nan,0.24829926,nan
2024-10-09 12:50,nan,0.24829926,nan
2024-10-09 13:50,nan,nan,nan
2024-10-09 13:50,nan,nan,nan
2024-10-09 14:50,nan,nan,nan
2024-10-09 14:50,nan,nan,nan
2024-10-09 15:50,nan,nan,nan
2024-10-09 15:50,nan,nan,nan
2024-10-09 16:50,nan,nan,nan
2024-10-09 16:50,nan,nan,nan
2024-10-09 17:50,nan,nan,nan
2024-10-09 17:50,nan,nan,nan
2024-10-09 18:50,nan,nan,nan
2024-10-09 18:50,nan,nan,nan
2024-10-09 19:50,nan,-0.05,nan
2024-10-09 19:50,nan,-0.05,nan
2024-10-09 20:50,0.1794847,0.017273378,nan
2024-10-09 20:50,0.1794847,0.017273378,nan
2024-10-10 10:50,nan,nan,nan
2024-10-10 10:50,nan,nan,nan
2024-10-10 11:50,nan,nan,nan
2024-10-10 12:50,nan,0.0509486,nan
